Date,Month,Channel,Owner,TruckName,Pack Size,DutyCycle,SKU,TotalMileage,Software,Distribution,IUPR,Cost of Sales,Price,Ppk
1/1/2011,11-Jan,Hypermarkets,ISX,Delta,12,Standard,Delta 12 Pack Standard,1765,95444,97.25,0.9725,242.48,54.08,0.5408
1/1/2011,11-Jan,Hypermarkets,ISX,Eta,12,Standard,Eta 12 Pack Standard,673,31930,13.41,0.1341,81.12,47.44,0.4744
1/1/2011,11-Jan,Hypermarkets,ISX,Omicron,8,Standard,Omicron 8 Pack Standard,1100,91520,99.16,0.9916,232.52,83.2,0.832
1/1/2011,11-Jan,Hypermarkets,ISX,Omicron,12,Low,Omicron 12 Pack Low,548,48904,89.68,0.8968,124.24,89.24,0.8924
1/1/2011,11-Jan,Hypermarkets,ISX,Omicron,12,High,Omicron 12 Pack High,3307,269467,98.19,0.9819,684.61,81.48,0.8148
1/1/2011,11-Jan,Hypermarkets,ISX,Omicron,12,Standard,Omicron 12 Pack Standard,9596,662294,99.52,0.9952,1682.63,69.02,0.6902
1/1/2011,11-Jan,Hypermarkets,ISX,Omicron,18,Standard,Omicron 18 Pack Standard,6629,409612,96.28,0.9628,1040.66,61.79,0.6179
1/1/2011,11-Jan,Hypermarkets,ISX,Sigma,12,High,Sigma 12 Pack High,695,105748,71.18,0.7118,268.66,152.16,1.5216
1/1/2011,11-Jan,Hypermarkets,ISX,Sigma,12,Standard,Sigma 12 Pack Standard,707,101950,92.19,0.9219,259.01,144.2,1.442
1/1/2011,11-Jan,Hypermarkets,ISX,Tau,12,Standard,Tau 12 Pack Standard,1110,70955,83.38,0.8338,180.27,63.92,0.6392
1/1/2011,11-Jan,Hypermarkets,ISB,Epsilon,12,Standard,Epsilon 12 Pack Standard,1207,63214,82.07,0.8207,160.6,52.37,0.5237
1/1/2011,11-Jan,Hypermarkets,ISB,Iota,12,High,Iota 12 Pack High,610,55730,93.91,0.9391,141.59,91.36,0.9136
1/1/2011,11-Jan,Hypermarkets,ISB,Iota,12,Standard,Iota 12 Pack Standard,1096,90079,95.69,0.9569,228.85,82.19,0.8219
1/1/2011,11-Jan,Hypermarkets,ISB,Lambda,8,Standard,Lambda 8 Pack Standard,469,30940,73.82,0.7382,78.61,65.97,0.6597
1/1/2011,11-Jan,Hypermarkets,ISB,Lambda,12,Standard,Lambda 12 Pack Standard,2948,168473,99.48,0.9948,428.02,57.15,0.5715
1/1/2011,11-Jan,Hypermarkets,ISB,Mu,12,Standard,Mu 12 Pack Standard,105,16874,25.45,0.2545,42.87,160.7,1.607
1/1/2011,11-Jan,Hypermarkets,ISB,Theta,6,Standard,Theta 6 Pack Standard,133,12991,16.45,0.1645,33.01,97.68,0.9768
1/1/2011,11-Jan,Hypermarkets,ISB,Theta,8,Standard,Theta 8 Pack Standard,890,77897,99.34,0.9934,197.9,87.52,0.8752
1/1/2011,11-Jan,Hypermarkets,ISB,Theta,12,Low,Theta 12 Pack Low,1693,130549,94.55,0.9455,331.67,77.11,0.7711
1/1/2011,11-Jan,Hypermarkets,ISB,Theta,12,High,Theta 12 Pack High,6623,506206,99.42,0.9942,1286.07,76.43,0.7643
1/1/2011,11-Jan,Hypermarkets,ISB,Theta,12,Standard,Theta 12 Pack Standard,4514,328711,100,1,835.12,72.82,0.7282
1/1/2011,11-Jan,Hypermarkets,ISB,Theta,18,Standard,Theta 18 Pack Standard,16594,999335,98.39,0.9839,2538.91,60.22,0.6022
1/1/2011,11-Jan,Hypermarkets,PickUp,Gamma,12,Standard,Gamma 12 Pack Standard,2600,162545,98.33,0.9833,412.96,62.52,0.6252
1/1/2011,11-Jan,Hypermarkets,CabChasis,Alpha,12,Standard,Alpha 12 Pack Standard,396,35555,70.78,0.7078,90.33,89.79,0.8979
1/1/2011,11-Jan,Hypermarkets,CabChasis,Alpha,18,Standard,Alpha 18 Pack Standard,1575,114674,92.19,0.9219,291.34,72.81,0.7281
1/1/2011,11-Jan,Hypermarkets,ISF,Beta,8,Standard,Beta 8 Pack Standard,735,84024,92.28,0.9228,213.47,114.32,1.1432
1/1/2011,11-Jan,Hypermarkets,ISF,Beta,12,Low,Beta 12 Pack Low,688,79887,64.09,0.6409,202.96,116.11,1.1611
1/1/2011,11-Jan,Hypermarkets,ISF,Beta,12,High,Beta 12 Pack High,1727,197923,95.62,0.9562,502.84,114.61,1.1461
1/1/2011,11-Jan,Hypermarkets,ISF,Beta,12,Standard,Beta 12 Pack Standard,7383,713849,99.2,0.992,1813.61,96.69,0.9669
1/1/2011,11-Jan,Hypermarkets,ISF,Beta,18,Standard,Beta 18 Pack Standard,4094,372800,96.81,0.9681,947.14,91.06,0.9106
1/1/2011,11-Jan,Hypermarkets,ISF,Beta,60,Standard,Beta 60 Pack Standard,893,90274,54.39,0.5439,229.35,101.09,1.0109
1/1/2011,11-Jan,Hypermarkets,Ventura,Omega,12,Standard,Omega 12 Pack Standard,979,56381,72.03,0.7203,143.24,57.59,0.5759
1/1/2011,11-Jan,Hypermarkets,ISL,Kappa,8,Standard,Kappa 8 Pack Standard,872,68483,96.5,0.965,173.99,78.54,0.7854
1/1/2011,11-Jan,Hypermarkets,ISL,Kappa,12,Standard,Kappa 12 Pack Standard,1891,134746,96.8,0.968,342.34,71.26,0.7126
1/1/2011,11-Jan,Hypermarkets,ISL,Kappa,18,Standard,Kappa 18 Pack Standard,3067,203498,96.63,0.9663,517.01,66.35,0.6635
1/1/2011,11-Jan,Hypermarkets,Vanguard,Pi,12,High,Pi 12 Pack High,804,62191,79.48,0.7948,158,77.35,0.7735
1/1/2011,11-Jan,Supermarkets,ISX,Delta,12,Standard,Delta 12 Pack Standard,838,50490,19.08,0.1908,128.27,60.25,0.6025
1/1/2011,11-Jan,Supermarkets,ISX,Eta,12,Standard,Eta 12 Pack Standard,752,35716,4.15,0.0415,90.74,47.49,0.4749
1/1/2011,11-Jan,Supermarkets,ISX,Omicron,8,Standard,Omicron 8 Pack Standard,18593,1339286,50.48,0.5048,3402.59,72.03,0.7203
1/1/2011,11-Jan,Supermarkets,ISX,Omicron,12,Low,Omicron 12 Pack Low,383,37627,9.96,0.0996,95.6,98.24,0.9824
1/1/2011,11-Jan,Supermarkets,ISX,Omicron,12,High,Omicron 12 Pack High,3831,331785,33.52,0.3352,842.93,86.61,0.8661
1/1/2011,11-Jan,Supermarkets,ISX,Omicron,12,Standard,Omicron 12 Pack Standard,10205,732823,36.64,0.3664,1861.81,71.81,0.7181
1/1/2011,11-Jan,Supermarkets,ISX,Omicron,18,Standard,Omicron 18 Pack Standard,4793,316745,27.97,0.2797,804.73,66.08,0.6608
1/1/2011,11-Jan,Supermarkets,ISX,Sigma,12,High,Sigma 12 Pack High,346,59810,10.99,0.1099,151.96,172.86,1.7286
1/1/2011,11-Jan,Supermarkets,ISX,Sigma,12,Standard,Sigma 12 Pack Standard,632,99834,15.6,0.156,253.64,157.97,1.5797
1/1/2011,11-Jan,Supermarkets,ISX,Tau,12,Standard,Tau 12 Pack Standard,461,32039,11.87,0.1187,81.4,69.5,0.695
1/1/2011,11-Jan,Supermarkets,ISB,Epsilon,12,Standard,Epsilon 12 Pack Standard,767,43339,11.92,0.1192,110.11,56.5,0.565
